lga_name,area.mean,area.max,area.min,area.sd,area.total,AREA_ALBERS_SQKM.mean,AREA_ALBERS_SQKM.max,AREA_ALBERS_SQKM.min,AREA_ALBERS_SQKM.sd,AREA_ALBERS_SQKM.total,Dwelling.mean,Dwelling.max,Dwelling.min,Dwelling.sd,Dwelling.total,Person.mean,Person.max,Person.min,Person.sd,Person.total,number_mesh_blocks
Banyule,15.1852891244718,17.7942163465701,7.87307193088116,1.536944781333323,19270.1318989548,0.036987943262411345,1.3652,0.0037,0.050459776321786526,46.9377,38.839243498817964,137,0,11.957443126143305,49287,94.24586288416076,250,0,32.309759768915534,119598,1269
Bayside,6.21921090282868,10.6872404729952,3.43332335607355,1.6493925723518494,6181.89563741171,0.02755784708249497,0.1105,0.0037,0.01053369808568095,27.3925,40.28672032193159,370,0,18.28782096031634,40045,95.59959758551308,564,3,36.752056204871536,95026,994
Boroondara,11.1912674623572,16.4281296276328,6.84276928001681,2.8202077812685347,19562.3355242004,0.026556235697940505,0.1809,0.0015,0.013855585646057862,46.4203,38.61212814645309,312,0,18.748554958753022,67494,92.83810068649886,530,0,37.448420413521035,162281,1748
Brimbank,10.7361610429963,14.6323471360661,4.39925418927647,2.341801128650279,18101.1675184917,0.033929893238434164,0.2297,0.0013,0.01623886413016173,57.205799999999996,40.348161328588375,213,0,13.497304474275113,68027,112.89145907473309,377,0,37.486259694476146,190335,1686
Cardinia,3.02115889353073,18.4371014803371,0,3.2156669220260747,2311.18655355101,0.12062522875816993,10.2854,0.0088,0.42959868461250184,92.2783,38.218300653594774,331,0,20.464966354572447,29237,102.82483660130718,520,0,51.14711007717666,78661,765
Casey,9.05263933127183,28.1640849425868,0.10346466441977,5.014536910882953,22332.8612302476,0.06460085123631941,4.3807,0.0065,0.17222308957397575,159.3703,40.25415484394001,584,0,19.447786532636517,99307,118.19497365220916,1563,0,52.741351222937816,291587,2467
Darebin,11.1385439501265,16.2791259912149,8.39442754358733,2.023259795302329,17075.387875544,0.023339399869536856,0.1478,0.0011,0.011839653254878037,35.7793,40.13633398564905,214,0,15.117220529100463,61529,92.23874755381604,479,0,35.09407925035724,141402,1533
Frankston,11.8318551151734,16.1209241413395,3.71528637403882,2.6173161553990254,17191.6854823469,0.04508355127322781,1.046,0.0042,0.07935606691346803,65.5064,38.40467997247075,431,0,17.107383423962123,55802,90.4796971782519,693,0,38.25039522533672,131467,1453
Glen Eira,7.83257754034405,11.7759664306394,5.12486060341144,1.513368189182464,11874.1875511616,0.021501781002638522,0.0739,0.0023,0.009833395822074521,32.5967,38.71767810026385,303,0,14.341869425971835,58696,90.85488126649076,295,0,32.29668646092862,137736,1516
Greater Dandenong,14.0130298848284,24.8623251543196,2.99986017252123,3.968515229634308,19534.1636594507,0.027157460545193687,0.2899,0.0019,0.016519147397262048,37.8575,38.26685796269727,377,0,17.497220143027857,53344,106.0767575322812,524,0,40.70106019195931,147871,1394
